,,,,,,,,,,,,,,,,,,,,,,,
Data,Nowe przypadki,"Osoby z wynikiem neg. przy ponownym tescie, osoby zdublowane, osoby błędnie zaraportowane",Przyrost % nowych przypadków (od sumy potwerdzonych przypadków),Zmiana tygodniowa nowo wykrywanych przypadków w %,Przyrost % nowych przypadków (od aktywnych przypadków),Zmiana % liczby aktywnych przypadków (od aktywnych przypadków),Nowe zgony,Nowe wyzdrowienia,Zmiana liczby nieaktywnych przypadków,Zmiana liczby aktywnych przypadków,Suma potwierdzonych przypadków,Suma zgonów,Suma wyzdrowień,Liczba nieaktywnych przypadków,Liczba aktywnych przypadków,,% zgonów w przypadkach nieaktywnych,% wyzdrowień w przypadkach nieaktywnych,,% zgonów,% wyzdrowień,% nieaktywnych przypadków,% aktywnych przypadków
03.03,+ 0,0,n/a,"800,00%",↓,,0,0,0,+ 0,0,0,0,0,0,,↓,,,↓,,,
04.03,+ 1,0,n/a,,,,0,0,0,+ 1,1,0,0,0,1,,,,,,,,
05.03,+ 0,0,n/a,,,,0,0,0,+ 0,1,0,0,0,1,,,,,,,,
06.03,+ 4,0,"400,00%",,,,0,0,0,+ 4,5,0,0,0,5,,,,,,,,
07.03,+ 1,0,"20,00%",,,,0,0,0,+ 1,6,0,0,0,6,,,,,,,,
08.03,+ 5,0,"83,33%",,,,0,0,0,+ 5,11,0,0,0,11,,,,,,,,
09.03,+ 6,0,"54,55%",,,,0,0,0,+ 6,17,0,0,0,17,,,,,,,,
10.03,+ 5,0,"29,41%",,,,0,0,0,+ 5,22,0,0,0,22,,,,,,,,
11.03,+ 9,0,"40,91%",,,,0,0,0,+ 9,31,0,0,0,31,,,,,,,,
12.03,+ 20,0,"64,52%",n/a,,,+ 1,0,+ 1,+ 19,51,1,0,1,50,,,,,,,,
13.03,+ 17,0,"33,33%","325,00%",,,+ 1,0,+ 1,+ 16,68,2,0,2,66,,,,,,,,
14.03,+ 36,0,"52,94%","3500,00%",,,+ 1,0,+ 1,+ 35,104,3,0,3,101,,,,,,,,
15.03,+ 21,0,"20,19%","320,00%",,,0,0,0,+ 21,125,3,0,3,122,,,,,,,,
16.03,+ 52,0,"41,60%","766,67%",,,+ 1,0,+ 1,+ 51,177,4,0,4,173,,,,,,,,
17.03,+ 61,0,"34,46%","1120,00%",,,+ 1,+ 1,+ 2,+ 59,238,5,1,6,232,,,,,,,,
18.03,+ 49,0,"20,59%","444,44%",,,0,0,0,+ 49,287,5,1,6,281,,,,,,,,
19.03,+ 68,-2,"23,69%","240,00%",,,0,0,0,+ 68,355,5,1,6,349,,,,,,,,
20.03,+ 70,0,"19,72%","311,76%",,,0,0,0,+ 70,425,5,1,6,419,,,,,,,,
21.03,+ 111,0,"26,12%","208,33%",,,0,0,0,+ 111,536,5,1,6,530,,,,,,,,
22.03,+ 98,0,"18,28%","366,67%",,,+ 2,0,+ 2,+ 96,634,7,1,8,626,,,,,,,,
23.03,+ 115,-1,"18,14%","121,15%",,,+ 1,0,+ 1,+ 114,749,8,1,9,740,,,,,,,,
24.03,+ 152,0,"20,29%","149,18%",,,+ 2,0,+ 2,+ 150,901,10,1,11,890,,,,,,,,
25.03,+ 150,-1,"16,65%","206,12%",,,+ 3,0,+ 3,+ 147,1051,13,1,14,1037,,,,,,,,
26.03,+ 170,0,"16,18%","150,00%",,,+ 3,0,+ 3,+ 167,1221,16,1,17,1204,,,,,,,,
27.03,+ 168,0,"13,76%","140,00%",,,0,0,0,+ 168,1389,16,1,17,1372,,,,,,,,
28.03,+ 249,0,"17,93%","124,32%",,,+ 2,0,+ 2,+ 247,1638,18,1,19,1619,,,,,,,,
29.03,+ 224,0,"13,68%","128,57%",,,+ 4,0,+ 4,+ 220,1862,22,1,23,1839,,,,,,,,
30.03,+ 193,0,"10,37%","67,83%",,,+ 9,0,+ 9,+ 184,2055,31,1,32,2023,,,,,,,,
31.03,+ 256,0,"12,46%","68,42%",,,+ 2,0,+ 2,+ 254,2311,33,1,34,2277,,,,,,,,
01.04,+ 243,0,"10,51%","62,00%",,,+ 10,0,+ 10,+ 233,2554,43,1,44,2510,,,,,,,,
02.04,+ 392,0,"15,35%","130,59%",,,+ 14,0,+ 14,+ 378,2946,57,1,58,2888,,,,,,,,
03.04,+ 437,0,"14,83%","160,12%",,,+ 14,0,+ 14,+ 423,3383,71,1,72,3311,,,,,,,,
04.04,+ 244,0,"7,21%","-2,01%","7,37%","3,65%",+ 8,+ 115,+ 123,+ 121,3627,79,116,195,3432,,"40,51%","59,49%",,"2,18%","3,20%","5,38%","94,62%"
05.04,+ 475,0,"13,10%","112,05%","13,84%","12,88%",+ 15,+ 18,+ 33,+ 442,4102,94,134,228,3874,,"41,23%","58,77%",,"2,29%","3,27%","5,56%","94,44%"
06.04,+ 311,0,"7,58%","61,14%","8,03%","6,97%",+ 13,+ 28,+ 41,+ 270,4413,107,162,269,4144,,"39,78%","60,22%",,"2,42%","3,67%","6,10%","93,90%"
07.04,+ 435,0,"9,86%","69,92%","10,50%","9,27%",+ 22,+ 29,+ 51,+ 384,4848,129,191,320,4528,,"40,31%","59,69%",,"2,66%","3,94%","6,60%","93,40%"
08.04,+ 357,0,"7,36%","46,91%","7,88%","6,56%",+ 29,+ 31,+ 60,+ 297,5205,158,222,380,4825,,"41,58%","58,42%",,"3,04%","4,27%","7,30%","92,70%"
09.04,+ 370,0,"7,11%","-5,61%","7,67%","6,05%",+ 16,+ 62,+ 78,+ 292,5575,174,284,458,5117,,"37,99%","62,01%",,"3,12%","5,09%","8,22%","91,78%"
10.04,+ 380,0,"6,82%","-13,04%","7,43%","6,62%",+ 7,+ 34,+ 41,+ 339,5955,181,318,499,5456,,"36,27%","63,73%",,"3,04%","5,34%","8,38%","91,62%"
11.04,+ 401,0,"6,73%","64,34%","7,35%","5,81%",+ 27,+ 57,+ 84,+ 317,6356,208,375,583,5773,,"35,68%","64,32%",,"3,27%","5,90%","9,17%","90,83%"
12.04,+ 318,0,"5,00%","-33,05%","5,51%","3,98%",+ 24,+ 64,+ 88,+ 230,6674,232,439,671,6003,,"34,58%","65,42%",,"3,48%","6,58%","10,05%","89,95%"
13.04,+ 258,-2,"3,87%","-17,04%","4,30%","3,28%",+ 13,+ 48,+ 61,+ 197,6932,245,487,732,6200,,"33,47%","66,53%",,"3,53%","7,03%","10,56%","89,44%"
14.04,+ 270,0,"3,89%","-37,93%","4,35%","1,95%",+ 18,+ 131,+ 149,+ 121,7202,263,618,881,6321,,"29,85%","70,15%",,"3,65%","8,58%","12,23%","87,77%"
15.04,+ 380,0,"5,28%","6,44%","6,01%","4,86%",+ 23,+ 50,+ 73,+ 307,7582,286,668,954,6628,,"29,98%","70,02%",,"3,77%","8,81%","12,58%","87,42%"
16.04,+ 336,0,"4,43%","-9,19%","5,07%","3,05%",+ 28,+ 106,+ 134,+ 202,7918,314,774,1088,6830,,"28,86%","71,14%",,"3,97%","9,78%","13,74%","86,26%"
17.04,+ 457,-4,"5,77%","20,26%","6,69%","5,08%",+ 18,+ 92,+ 110,+ 347,8375,332,866,1198,7177,,"27,71%","72,29%",,"3,96%","10,34%","14,30%","85,70%"
18.04,+ 334,-29,"3,99%","-16,71%","4,65%","2,84%",+ 15,+ 115,+ 130,+ 204,8709,347,981,1328,7381,,"26,13%","73,87%",,"3,98%","11,26%","15,25%","84,75%"
19.04,+ 515,-30,"5,91%","61,95%","6,98%","6,00%",+ 13,+ 59,+ 72,+ 443,9224,360,1040,1400,7824,,"25,71%","74,29%",,"3,90%","11,27%","15,18%","84,82%"
20.04,+ 306,0,"3,32%","18,60%","3,91%","2,47%",+ 20,+ 93,+ 113,+ 193,9530,380,1133,1513,8017,,"25,12%","74,88%",,"3,99%","11,89%","15,88%","84,12%"
21.04,+ 263,0,"2,76%","-2,59%","3,28%","0,99%",+ 20,+ 164,+ 184,+ 79,9793,400,1297,1697,8096,,"23,57%","76,43%",,"4,08%","13,24%","17,33%","82,67%"
22.04,+ 313,0,"3,20%","-17,63%","3,87%","0,89%",+ 25,+ 216,+ 241,+ 72,10106,425,1513,1938,8168,,"21,93%","78,07%",,"4,21%","14,97%","19,18%","80,82%"
23.04,+ 342,0,"3,38%","1,79%","4,19%","1,07%",+ 28,+ 227,+ 255,+ 87,10448,453,1740,2193,8255,,"20,66%","79,34%",,"4,34%","16,65%","20,99%","79,01%"
24.04,+ 381,0,"3,65%","-16,63%","4,62%","1,66%",+ 40,+ 204,+ 244,+ 137,10829,493,1944,2437,8392,,"20,23%","79,77%",,"4,55%","17,95%","22,50%","77,50%"
25.04,+ 381,0,"3,52%","14,07%","4,54%","2,01%",+ 30,+ 182,+ 212,+ 169,11210,523,2126,2649,8561,,"19,74%","80,26%",,"4,67%","18,97%","23,63%","76,37%"
26.04,+ 344,0,"3,07%","-33,20%","4,02%","2,25%",+ 12,+ 139,+ 151,+ 193,11554,535,2265,2800,8754,,"19,11%","80,89%",,"4,63%","19,60%","24,23%","75,77%"
27.04,+ 285,0,"2,47%","-6,86%","3,26%","0,66%",+ 26,+ 201,+ 227,+ 58,11839,561,2466,3027,8812,,"18,53%","81,47%",,"4,74%","20,83%","25,57%","74,43%"
28.04,+ 316,0,"2,67%","20,15%","3,59%","1,06%",+ 34,+ 189,+ 223,+ 93,12155,595,2655,3250,8905,,"18,31%","81,69%",,"4,90%","21,84%","26,74%","73,26%"
29.04,+ 422,0,"3,47%","34,82%","4,74%","0,27%",+ 28,+ 370,+ 398,+ 24,12577,623,3025,3648,8929,,"17,08%","82,92%",,"4,95%","24,05%","29,01%","70,99%"
30.04,+ 300,0,"2,39%","-12,28%","3,36%","0,77%",+ 20,+ 211,+ 231,+ 69,12877,643,3236,3879,8998,,"16,58%","83,42%",,"4,99%","25,13%","30,12%","69,88%"
01.05,+ 228,0,"1,77%","-40,16%","2,53%","-0,38%",+ 7,+ 255,+ 262,-34,13105,650,3491,4141,8964,,"15,70%","84,30%",,"4,96%","26,64%","31,60%","68,40%"
02.05,+ 270,0,"2,06%","-29,13%","3,01%","-0,15%",+ 12,+ 271,+ 283,-13,13375,662,3762,4424,8951,,"14,96%","85,04%",,"4,95%","28,13%","33,08%","66,92%"
03.05,+ 318,0,"2,38%","-7,56%","3,55%","1,34%",+ 15,+ 183,+ 198,+ 120,13693,677,3945,4622,9071,,"14,65%","85,35%",,"4,94%","28,81%","33,75%","66,25%"
04.05,+ 313,0,"2,29%","9,82%","3,45%","1,59%",+ 19,+ 150,+ 169,+ 144,14006,696,4095,4791,9215,,"14,53%","85,47%",,"4,97%","29,24%","34,21%","65,79%"
05.05,+ 406,-19,"2,90%","28,48%","4,41%","2,19%",+ 19,+ 185,+ 204,+ 202,14412,715,4280,4995,9417,,"14,31%","85,69%",,"4,96%","29,70%","34,66%","65,34%"
06.05,+ 311,0,"2,16%","-26,30%","3,30%","-0,87%",+ 18,+ 375,+ 393,-82,14723,733,4655,5388,9335,,"13,60%","86,40%",,"4,98%","31,62%","36,60%","63,40%"
07.05,+ 303,-21,"2,06%","1,00%","3,25%","0,79%",+ 22,+ 207,+ 229,+ 74,15026,755,4862,5617,9409,,"13,44%","86,56%",,"5,02%","32,36%","37,38%","62,62%"
08.05,+ 337,-3,"2,24%","47,81%","3,58%","-0,05%",+ 20,+ 322,+ 342,-5,15363,775,5184,5959,9404,,"13,01%","86,99%",,"5,04%","33,74%","38,79%","61,21%"
09.05,+ 288,0,"1,87%","6,67%","3,06%","0,28%",+ 9,+ 253,+ 262,+ 26,15651,784,5437,6221,9430,,"12,60%","87,40%",,"5,01%","34,74%","39,75%","60,25%"
10.05,+ 345,0,"2,20%","8,49%","3,66%","0,73%",+ 15,+ 261,+ 276,+ 69,15996,799,5698,6497,9499,,"12,30%","87,70%",,"4,99%","35,62%","40,62%","59,38%"
11.05,+ 330,0,"2,06%","5,43%","3,47%","2,12%",+ 11,+ 118,+ 129,+ 201,16326,810,5816,6626,9700,,"12,22%","87,78%",,"4,96%","35,62%","40,59%","59,41%"
12.05,+ 556,-39,"3,41%","36,95%","5,73%","2,20%",+ 28,+ 315,+ 343,+ 213,16882,838,6131,6969,9913,,"12,02%","87,98%",,"4,96%","36,32%","41,28%","58,72%"
13.05,+ 322,0,"1,91%","3,54%","3,25%","0,20%",+ 23,+ 279,+ 302,+ 20,17204,861,6410,7271,9933,,"11,84%","88,16%",,"5,00%","37,26%","42,26%","57,74%"
14.05,+ 411,0,"2,39%","35,64%","4,14%","1,04%",+ 22,+ 286,+ 308,+ 103,17615,883,6696,7579,10036,,"11,65%","88,35%",,"5,01%","38,01%","43,03%","56,97%"
15.05,+ 401,0,"2,28%","18,99%","4,00%","1,54%",+ 24,+ 222,+ 246,+ 155,18016,907,6918,7825,10191,,"11,59%","88,41%",,"5,03%","38,40%","43,43%","56,57%"
16.05,+ 241,0,"1,34%","-16,32%","2,36%","-0,24%",+ 8,+ 257,+ 265,-24,18257,915,7175,8090,10167,,"11,31%","88,69%",,"5,01%","39,30%","44,31%","55,69%"
17.05,+ 272,0,"1,49%","-21,16%","2,68%","-0,14%",+ 10,+ 276,+ 286,-14,18529,925,7451,8376,10153,,"11,04%","88,96%",,"4,99%","40,21%","45,20%","54,80%"
18.05,+ 356,0,"1,92%","7,88%","3,51%","1,65%",+ 11,+ 177,+ 188,+ 168,18885,936,7628,8564,10321,,"10,93%","89,07%",,"4,96%","40,39%","45,35%","54,65%"
19.05,+ 382,-1,"2,02%","-31,29%","3,70%","0,92%",+ 12,+ 275,+ 287,+ 95,19267,948,7903,8851,10416,,"10,71%","89,29%",,"4,92%","41,02%","45,94%","54,06%"
20.05,+ 471,0,"2,44%","46,27%","4,52%","1,70%",+ 14,+ 280,+ 294,+ 177,19738,962,8183,9145,10593,,"10,52%","89,48%",,"4,87%","41,46%","46,33%","53,67%"
21.05,+ 403,-2,"2,04%","-1,95%","3,80%","1,17%",+ 10,+ 269,+ 279,+ 124,20141,972,8452,9424,10717,,"10,31%","89,69%",,"4,83%","41,96%","46,79%","53,21%"
22.05,+ 471,-5,"2,34%","17,46%","4,39%","1,70%",+ 10,+ 279,+ 289,+ 182,20612,982,8731,9713,10899,,"10,11%","89,89%",,"4,76%","42,36%","47,12%","52,88%"
23.05,+ 315,-1,"1,53%","30,71%","2,89%","0,53%",+ 11,+ 246,+ 257,+ 58,20927,993,8977,9970,10957,,"9,96%","90,04%",,"4,75%","42,90%","47,64%","52,36%"
24.05,+ 361,-34,"1,73%","32,72%","3,29%","1,29%",+ 3,+ 217,+ 220,+ 141,21288,996,9194,10190,11098,,"9,77%","90,23%",,"4,68%","43,19%","47,87%","52,13%"
25.05,+ 341,0,"1,60%","-4,21%","3,07%","2,23%",+ 11,+ 82,+ 93,+ 248,21629,1007,9276,10283,11346,,"9,79%","90,21%",,"4,66%","42,89%","47,54%","52,46%"
26.05,+ 443,-2,"2,05%","15,97%","3,90%","-2,80%",+ 17,+ 744,+ 761,-318,22072,1024,10020,11044,11028,,"9,27%","90,73%",,"4,64%","45,40%","50,04%","49,96%"
27.05,+ 397,-2,"1,80%","-15,71%","3,60%","0,75%",+ 4,+ 310,+ 314,+ 83,22469,1028,10330,11358,11111,,"9,05%","90,95%",,"4,58%","45,97%","50,55%","49,45%"
28.05,+ 352,0,"1,57%","-12,66%","3,17%","1,01%",+ 10,+ 230,+ 240,+ 112,22821,1038,10560,11598,11223,,"8,95%","91,05%",,"4,55%","46,27%","50,82%","49,18%"
29.05,+ 332,-1,"1,45%","-29,51%","2,96%","1,67%",+ 13,+ 132,+ 145,+ 187,23153,1051,10692,11743,11410,,"8,95%","91,05%",,"4,54%","46,18%","50,72%","49,28%"
30.05,+ 412,-4,"1,78%","30,79%","3,61%","0,68%",+ 10,+ 324,+ 334,+ 78,23565,1061,11016,12077,11488,,"8,79%","91,21%",,"4,50%","46,75%","51,25%","48,75%"
31.05,+ 219,0,"0,93%","-39,34%","1,91%","-0,34%",+ 3,+ 255,+ 258,-39,23784,1064,11271,12335,11449,,"8,63%","91,37%",,"4,47%","47,39%","51,86%","48,14%"
01.06,+ 375,-5,"1,58%","9,97%","3,28%","1,63%",+ 10,+ 178,+ 188,+ 187,24159,1074,11449,12523,11636,,"8,58%","91,42%",,"4,45%","47,39%","51,84%","48,16%"
02.06,+ 236,0,"0,98%","-46,73%","2,03%","-0,51%",+ 18,+ 277,+ 295,-59,24395,1092,11726,12818,11577,,"8,52%","91,48%",,"4,48%","48,07%","52,54%","47,46%"
03.06,+ 292,0,"1,20%","-26,45%","2,52%","-0,16%",+ 23,+ 288,+ 311,-19,24687,1115,12014,13129,11558,,"8,49%","91,51%",,"4,52%","48,67%","53,18%","46,82%"
04.06,+ 361,0,"1,46%","2,56%","3,12%","1,26%",+ 2,+ 213,+ 215,+ 146,25048,1117,12227,13344,11704,,"8,37%","91,63%",,"4,46%","48,81%","53,27%","46,73%"
05.06,+ 362,0,"1,45%","9,04%","3,09%","1,36%",+ 20,+ 183,+ 203,+ 159,25410,1137,12410,13547,11863,,"8,39%","91,61%",,"4,47%","48,84%","53,31%","46,69%"
06.06,+ 576,0,"2,27%","39,81%","4,86%","2,79%",+ 14,+ 231,+ 245,+ 331,25986,1151,12641,13792,12194,,"8,35%","91,65%",,"4,43%","48,65%","53,07%","46,93%"
07.06,+ 575,0,"2,21%","162,56%","4,72%","2,93%",+ 4,+ 214,+ 218,+ 357,26561,1155,12855,14010,12551,,"8,24%","91,76%",,"4,35%","48,40%","52,75%","47,25%"
08.06,+ 599,0,"2,26%","59,73%","4,77%","3,56%",+ 9,+ 143,+ 152,+ 447,27160,1164,12998,14162,12998,,"8,22%","91,78%",,"4,29%","47,86%","52,14%","47,86%"
09.06,+ 400,0,"1,47%","69,49%","3,08%","1,41%",+ 19,+ 198,+ 217,+ 183,27560,1183,13196,14379,13181,,"8,23%","91,77%",,"4,29%","47,88%","52,17%","47,83%"
10.06,+ 282,0,"1,02%","-3,42%","2,14%","0,33%",+ 23,+ 215,+ 238,+ 44,27842,1206,13411,14617,13225,,"8,25%","91,75%",,"4,33%","48,17%","52,50%","47,50%"
11.06,+ 359,0,"1,29%","-0,55%","2,71%","0,49%",+ 9,+ 285,+ 294,+ 65,28201,1215,13696,14911,13290,,"8,15%","91,85%",,"4,31%","48,57%","52,87%","47,13%"
12.06,+ 376,0,"1,33%","3,87%","2,83%","1,96%",+ 7,+ 109,+ 116,+ 260,28577,1222,13805,15027,13550,,"8,13%","91,87%",,"4,28%","48,31%","52,58%","47,42%"
13.06,+ 440,0,"1,54%","-23,61%","3,25%","0,93%",+ 15,+ 299,+ 314,+ 126,29017,1237,14104,15341,13676,,"8,06%","91,94%",,"4,26%","48,61%","52,87%","47,13%"
14.06,+ 375,0,"1,29%","-34,78%","2,74%","1,78%",+ 10,+ 122,+ 132,+ 243,29392,1247,14226,15473,13919,,"8,06%","91,94%",,"4,24%","48,40%","52,64%","47,36%"
15.06,+ 396,0,"1,35%","-33,89%","2,85%","1,65%",+ 9,+ 157,+ 166,+ 230,29788,1256,14383,15639,14149,,"8,03%","91,97%",,"4,22%","48,28%","52,50%","47,50%"
16.06,+ 407,0,"1,37%","1,75%","2,88%","0,85%",+ 16,+ 271,+ 287,+ 120,30195,1272,14654,15926,14269,,"7,99%","92,01%",,"4,21%","48,53%","52,74%","47,26%"
17.06,+ 450,-56,"1,49%","59,57%","3,15%","1,18%",+ 14,+ 267,+ 281,+ 169,30645,1286,14921,16207,14438,,"7,93%","92,07%",,"4,20%","48,69%","52,89%","47,11%"
18.06,+ 314,0,"1,02%","-12,53%","2,17%","-0,78%",+ 30,+ 396,+ 426,-112,30959,1316,15317,16633,14326,,"7,91%","92,09%",,"4,25%","49,48%","53,73%","46,27%"
19.06,+ 352,0,"1,14%","-6,38%","2,46%","-0,33%",+ 18,+ 381,+ 399,-47,31311,1334,15698,17032,14279,,"7,83%","92,17%",,"4,26%","50,14%","54,40%","45,60%"
20.06,+ 309,0,"0,99%","-29,77%","2,16%","-1,30%",+ 12,+ 483,+ 495,-186,31620,1346,16181,17527,14093,,"7,68%","92,32%",,"4,26%","51,17%","55,43%","44,57%"
21.06,+ 311,0,"0,98%","-17,07%","2,21%","-1,43%",+ 10,+ 502,+ 512,-201,31931,1356,16683,18039,13892,,"7,52%","92,48%",,"4,25%","52,25%","56,49%","43,51%"
22.06,+ 296,0,"0,93%","-25,25%","2,13%","-0,72%",+ 3,+ 393,+ 396,-100,32227,1359,17076,18435,13792,,"7,37%","92,63%",,"4,22%","52,99%","57,20%","42,80%"
23.06,+ 300,0,"0,93%","-26,29%","2,18%","-1,54%",+ 16,+ 497,+ 513,-213,32527,1375,17573,18948,13579,,"7,26%","92,74%",,"4,23%","54,03%","58,25%","41,75%"
24.06,+ 294,0,"0,90%","-34,67%","2,17%","-2,12%",+ 21,+ 561,+ 582,-288,32821,1396,18134,19530,13291,,"7,15%","92,85%",,"4,25%","55,25%","59,50%","40,50%"
25.06,+ 289,-9,"0,88%","-7,96%","2,17%","-1,86%",+ 16,+ 520,+ 536,-247,33110,1412,18654,20066,13044,,"7,04%","92,96%",,"4,26%","56,34%","60,60%","39,40%"
26.06,+ 285,0,"0,86%","-19,03%","2,18%","-2,27%",+ 17,+ 564,+ 581,-296,33395,1429,19218,20647,12748,,"6,92%","93,08%",,"4,28%","57,55%","61,83%","38,17%"
27.06,+ 319,0,"0,96%","3,24%","2,50%","-3,46%",+ 6,+ 754,+ 760,-441,33714,1435,19972,21407,12307,,"6,70%","93,30%",,"4,26%","59,24%","63,50%","36,50%"
