,,,,,,,,,,,,,,,,,,,,,,,
08.10,+ 4280,0,"3,99%","117,59%","14,67%","10,49%",+ 76,+ 1144,+ 1220,+ 3060,111599,2867,76490,79357,32242,,"3,61%","96,39%",,"2,57%","68,54%","71,11%","28,89%"
09.10,+ 4739,0,"4,25%","106,76%","14,70%","10,24%",+ 52,+ 1385,+ 1437,+ 3302,116338,2919,77875,80794,35544,,"3,61%","96,39%",,"2,51%","66,94%","69,45%","30,55%"
10.10,+ 5300,0,"4,56%","123,91%","14,91%","11,65%",+ 53,+ 1107,+ 1160,+ 4140,121638,2972,78982,81954,39684,,"3,63%","96,37%",,"2,44%","64,93%","67,38%","32,62%"
11.10,+ 4178,0,"3,43%","116,03%","10,53%","7,12%",+ 31,+ 1320,+ 1351,+ 2827,125816,3003,80302,83305,42511,,"3,60%","96,40%",,"2,39%","63,82%","66,21%","33,79%"
12.10,+ 4394,0,"3,49%","119,04%","10,34%","8,14%",+ 35,+ 899,+ 934,+ 3460,130210,3038,81201,84239,45971,,"3,61%","96,39%",,"2,33%","62,36%","64,69%","35,31%"
13.10,+ 5068,0,"3,89%","126,65%","11,02%","9,14%",+ 63,+ 803,+ 866,+ 4202,135278,3101,82004,85105,50173,,"3,64%","96,36%",,"2,29%","60,62%","62,91%","37,09%"
14.10,+ 6526,0,"4,82%","117,32%","13,01%","9,10%",+ 116,+ 1843,+ 1959,+ 4567,141804,3217,83847,87064,54740,,"3,69%","96,31%",,"2,27%","59,13%","61,40%","38,60%"
15.10,+ 8099,0,"5,71%","89,23%","14,80%","11,45%",+ 91,+ 1741,+ 1832,+ 6267,149903,3308,85588,88896,61007,,"3,72%","96,28%",,"2,21%","57,10%","59,30%","40,70%"
16.10,+ 7705,0,"5,14%","62,59%","12,63%","8,83%",+ 132,+ 2185,+ 2317,+ 5388,157608,3440,87773,91213,66395,,"3,77%","96,23%",,"2,18%","55,69%","57,87%","42,13%"
17.10,+ 9622,0,"6,11%","81,55%","14,49%","10,77%",+ 84,+ 2389,+ 2473,+ 7149,167230,3524,90162,93686,73544,,"3,76%","96,24%",,"2,11%","53,91%","56,02%","43,98%"
18.10,+ 8536,0,"5,10%","104,31%","11,61%","8,16%",+ 49,+ 2489,+ 2538,+ 5998,175766,3573,92651,96224,79542,,"3,71%","96,29%",,"2,03%","52,71%","54,75%","45,25%"
19.10,+ 7482,0,"4,26%","70,28%","9,41%","7,64%",+ 41,+ 1363,+ 1404,+ 6078,183248,3614,94014,97628,85620,,"3,70%","96,30%",,"1,97%","51,30%","53,28%","46,72%"
20.10,+ 9291,0,"5,07%","83,33%","10,85%","8,46%",+ 107,+ 1942,+ 2049,+ 7242,192539,3721,95956,99677,92862,,"3,73%","96,27%",,"1,93%","49,84%","51,77%","48,23%"
21.10,+ 10040,0,"5,21%","53,85%","10,81%","7,52%",+ 130,+ 2928,+ 3058,+ 6982,202579,3851,98884,102735,99844,,"3,75%","96,25%",,"1,90%","48,81%","50,71%","49,29%"
22.10,+ 12107,0,"5,98%","49,49%","12,13%","8,63%",+ 168,+ 3320,+ 3488,+ 8619,214686,4019,102204,106223,108463,,"3,78%","96,22%",,"1,87%","47,61%","49,48%","50,52%"
23.10,+ 13632,0,"6,35%","76,92%","12,57%","9,76%",+ 153,+ 2888,+ 3041,+ 10591,228318,4172,105092,109264,119054,,"3,82%","96,18%",,"1,83%","46,03%","47,86%","52,14%"
24.10,+ 13628,0,"5,97%","41,63%","11,45%","7,73%",+ 178,+ 4252,+ 4430,+ 9198,241946,4350,109344,113694,128252,,"3,83%","96,17%",,"1,80%","45,19%","46,99%","53,01%"
25.10,+ 11742,0,"4,85%","37,56%","9,16%","6,53%",+ 87,+ 3275,+ 3362,+ 8380,253688,4437,112619,117056,136632,,"3,79%","96,21%",,"1,75%","44,39%","46,14%","53,86%"
26.10,+ 10241,0,"4,04%","36,88%","7,50%","5,50%",+ 45,+ 2683,+ 2728,+ 7513,263929,4482,115302,119784,144145,,"3,74%","96,26%",,"1,70%","43,69%","45,38%","54,62%"
27.10,+ 16300,0,"6,18%","75,44%","11,31%","8,49%",+ 132,+ 3935,+ 4067,+ 12233,280229,4614,119237,123851,156378,,"3,73%","96,27%",,"1,65%","42,55%","44,20%","55,80%"
28.10,+ 18820,0,"6,72%","87,45%","12,03%","9,16%",+ 234,+ 4267,+ 4501,+ 14319,299049,4848,123504,128352,170697,,"3,78%","96,22%",,"1,62%","41,30%","42,92%","57,08%"
29.10,+ 20156,0,"6,74%","66,48%","11,81%","8,26%",+ 301,+ 5763,+ 6064,+ 14092,319205,5149,129267,134416,184789,,"3,83%","96,17%",,"1,61%","40,50%","42,11%","57,89%"
30.10,+ 21629,0,"6,78%","58,66%","11,70%","8,64%",+ 202,+ 5457,+ 5659,+ 15970,340834,5351,134724,140075,200759,,"3,82%","96,18%",,"1,57%","39,53%","41,10%","58,90%"
31.10,+ 21897,0,"6,42%","60,68%","10,91%","8,00%",+ 280,+ 5556,+ 5836,+ 16061,362731,5631,140280,145911,216820,,"3,86%","96,14%",,"1,55%","38,67%","40,23%","59,77%"
01.11,+ 17171,0,"4,73%","46,24%","7,92%","4,94%",+ 152,+ 6315,+ 6467,+ 10704,379902,5783,146595,152378,227524,,"3,80%","96,20%",,"1,52%","38,59%","40,11%","59,89%"
02.11,+ 15578,0,"4,10%","52,11%","6,85%","3,37%",+ 92,+ 7818,+ 7910,+ 7668,395480,5875,154413,160288,235192,,"3,67%","96,33%",,"1,49%","39,04%","40,53%","59,47%"
03.11,+ 19364,0,"4,90%","18,80%","8,23%","5,77%",+ 227,+ 5573,+ 5800,+ 13564,414844,6102,159986,166088,248756,,"3,67%","96,33%",,"1,47%","38,57%","40,04%","59,96%"
04.11,+ 24692,0,"5,95%","31,20%","9,93%","6,17%",+ 372,+ 8974,+ 9346,+ 15346,439536,6474,168960,175434,264102,,"3,69%","96,31%",,"1,47%","38,44%","39,91%","60,09%"
05.11,+ 27143,0,"6,18%","34,66%","10,28%","6,84%",+ 367,+ 8721,+ 9088,+ 18055,466679,6841,177681,184522,282157,,"3,71%","96,29%",,"1,47%","38,07%","39,54%","60,46%"
06.11,+ 27086,0,"5,80%","25,23%","9,60%","5,55%",+ 445,+ 10994,+ 11439,+ 15647,493765,7286,188675,195961,297804,,"3,72%","96,28%",,"1,48%","38,21%","39,69%","60,31%"
07.11,+ 27875,0,"5,65%","27,30%","9,36%","5,27%",+ 349,+ 11835,+ 12184,+ 15691,521640,7635,200510,208145,313495,,"3,67%","96,33%",,"1,46%","38,44%","39,90%","60,10%"
08.11,+ 24785,0,"4,75%","44,34%","7,91%","5,01%",+ 236,+ 8853,+ 9089,+ 15696,546425,7871,209363,217234,329191,,"3,62%","96,38%",,"1,44%","38,32%","39,76%","60,24%"
09.11,+ 21713,0,"3,97%","39,38%","6,60%","3,50%",+ 173,+ 10008,+ 10181,+ 11532,568138,8044,219371,227415,340723,,"3,54%","96,46%",,"1,42%","38,61%","40,03%","59,97%"
10.11,+ 25454,-30,"4,48%","31,45%","7,47%","4,06%",+ 330,+ 11290,+ 11620,+ 13834,593592,8374,230661,239035,354557,,"3,50%","96,50%",,"1,41%","38,86%","40,27%","59,73%"
11.11,+ 25221,0,"4,25%","2,14%","7,11%","3,55%",+ 429,+ 12214,+ 12643,+ 12578,618813,8803,242875,251678,367135,,"3,50%","96,50%",,"1,42%","39,25%","40,67%","59,33%"
12.11,+ 22683,0,"3,67%","-16,43%","6,18%","2,98%",+ 275,+ 11474,+ 11749,+ 10934,641496,9078,254349,263427,378069,,"3,45%","96,55%",,"1,42%","39,65%","41,06%","58,94%"
13.11,+ 24051,0,"3,75%","-11,21%","6,36%","2,75%",+ 419,+ 13231,+ 13650,+ 10401,665547,9497,267580,277077,388470,,"3,43%","96,57%",,"1,43%","40,20%","41,63%","58,37%"
14.11,+ 25571,0,"3,84%","-8,27%","6,58%","2,67%",+ 548,+ 14635,+ 15183,+ 10388,691118,10045,282215,292260,398858,,"3,44%","96,56%",,"1,45%","40,83%","42,29%","57,71%"
15.11,+ 21854,0,"3,16%","-11,83%","5,48%","2,25%",+ 303,+ 12568,+ 12871,+ 8983,712972,10348,294783,305131,407841,,"3,39%","96,61%",,"1,45%","41,35%","42,80%","57,20%"
16.11,+ 20816,0,"2,92%","-4,13%","5,10%","2,31%",+ 143,+ 11239,+ 11382,+ 9434,733788,10491,306022,316513,417275,,"3,31%","96,69%",,"1,43%","41,70%","43,13%","56,87%"
17.11,+ 19152,0,"2,61%","-24,76%","4,59%","0,13%",+ 357,+ 18260,+ 18617,+ 535,752940,10848,324282,335130,417810,,"3,24%","96,76%",,"1,44%","43,07%","44,51%","55,49%"
18.11,+ 19883,0,"2,64%","-21,16%","4,76%","0,16%",+ 603,+ 18601,+ 19204,+ 679,772823,11451,342883,354334,418489,,"3,23%","96,77%",,"1,48%","44,37%","45,85%","54,15%"
19.11,+ 23975,0,"3,10%","5,70%","5,73%","1,04%",+ 637,+ 19003,+ 19640,+ 4335,796798,12088,361886,373974,422824,,"3,23%","96,77%",,"1,52%","45,42%","46,93%","53,07%"
20.11,+ 22464,0,"2,82%","-6,60%","5,31%","0,46%",+ 626,+ 19914,+ 20540,+ 1924,819262,12714,381800,394514,424748,,"3,22%","96,78%",,"1,55%","46,60%","48,15%","51,85%"
21.11,+ 24213,0,"2,96%","-5,31%","5,70%","-0,39%",+ 574,+ 25275,+ 25849,-1 636,843475,13288,407075,420363,423112,,"3,16%","96,84%",,"1,58%","48,26%","49,84%","50,16%"
22.11,+ 18467,-611,"2,19%","-15,50%","4,36%","0,29%",+ 330,+ 16896,+ 17226,+ 1241,861331,13618,423971,437589,424353,,"3,11%","96,89%",,"1,58%","49,26%","50,84%","49,27%"
23.11,+ 15002,0,"1,74%","-27,93%","3,54%","-0,01%",+ 156,+ 14897,+ 15053,-51,875722,13774,438868,452642,423080,,"3,04%","96,96%",,"1,57%","50,11%","51,69%","48,31%"
24.11,+ 10139,+ 22594,"1,16%","-47,06%","2,40%","-1,48%",+ 540,+ 15849,+ 16389,-6 250,909066,14314,454717,469031,416830,,"3,05%","96,95%",,"1,57%","50,02%","51,59%","45,92%"
25.11,+ 15362,0,"1,69%","-22,74%","3,69%","-0,03%",+ 674,+ 14810,+ 15484,-122,924428,14988,469527,484515,439913,,"3,09%","96,91%",,"1,62%","50,79%","52,41%","47,59%"
26.11,+ 16687,0,"1,81%","-30,40%","3,79%","-2,10%",+ 580,+ 25342,+ 25922,-9 235,941115,15568,494869,510437,430678,,"3,05%","96,95%",,"1,65%","52,58%","54,24%","45,76%"
27.11,+ 17060,0,"1,81%","-24,06%","3,96%","-1,23%",+ 579,+ 21767,+ 22346,-5 286,958175,16147,516636,532783,425392,,"3,03%","96,97%",,"1,69%","53,92%","55,60%","44,40%"
28.11,+ 15178,0,"1,58%","-37,31%","3,57%","-1,66%",+ 599,+ 21637,+ 22236,-7 058,973353,16746,538273,555019,418334,,"3,02%","96,98%",,"1,72%","55,30%","57,02%","42,98%"
29.11,+ 11483,0,"1,18%","-37,82%","2,74%","-2,38%",+ 283,+ 21156,+ 21439,-9 956,984836,17029,559429,576458,408378,,"2,95%","97,05%",,"1,73%","56,80%","58,53%","41,47%"
30.11,+ 5733,0,"0,58%","-61,79%","1,40%","-3,05%",+ 121,+ 18085,+ 18206,-12 473,990569,17150,577514,594664,395905,,"2,88%","97,12%",,"1,73%","58,30%","60,03%","39,97%"
01.12,+ 9105,0,"0,92%","-10,20%","2,30%","-2,88%",+ 449,+ 20075,+ 20524,-11 419,999674,17599,597589,615188,384486,,"2,86%","97,14%",,"1,76%","59,78%","61,54%","38,46%"
02.12,+ 13855,0,"1,39%","-9,81%","3,60%","-3,16%",+ 609,+ 25391,+ 26000,-12 145,1013529,18208,622980,641188,372341,,"2,84%","97,16%",,"1,80%","61,47%","63,26%","36,74%"
03.12,+ 14838,0,"1,46%","-11,08%","3,99%","-2,51%",+ 620,+ 23580,+ 24200,-9 362,1028367,18828,646560,665388,362979,,"2,83%","97,17%",,"1,83%","62,87%","64,70%","35,30%"
04.12,+ 13239,0,"1,29%","-22,40%","3,65%","-1,97%",+ 531,+ 19853,+ 20384,-7 145,1041606,19359,666413,685772,355834,,"2,82%","97,18%",,"1,86%","63,98%","65,84%","34,16%"
05.12,+ 12430,0,"1,19%","-18,11%","3,49%","-2,69%",+ 502,+ 21497,+ 21999,-9 569,1054036,19861,687910,707771,346265,,"2,81%","97,19%",,"1,88%","65,26%","67,15%","32,85%"
06.12,+ 9176,0,"0,87%","-20,09%","2,65%","-2,85%",+ 228,+ 18810,+ 19038,-9 862,1063212,20089,706720,726809,336403,,"2,76%","97,24%",,"1,89%","66,47%","68,36%","31,64%"
07.12,+ 4423,0,"0,42%","-22,85%","1,31%","-3,39%",+ 92,+ 15726,+ 15818,-11 395,1067635,20181,722446,742627,325008,,"2,72%","97,28%",,"1,89%","67,67%","69,56%","30,44%"
08.12,+ 8312,0,"0,78%","-8,71%","2,56%","-2,61%",+ 411,+ 16399,+ 16810,-8 498,1075947,20592,738845,759437,316510,,"2,71%","97,29%",,"1,91%","68,67%","70,58%","29,42%"
09.12,+ 12168,0,"1,13%","-12,18%","3,84%","-5,62%",+ 568,+ 29396,+ 29964,-17 796,1088115,21160,768241,789401,298714,,"2,68%","97,32%",,"1,94%","70,60%","72,55%","27,45%"
10.12,+ 13749,0,"1,26%","-7,34%","4,60%","-3,55%",+ 470,+ 23878,+ 24348,-10 599,1101864,21630,792119,813749,288115,,"2,66%","97,34%",,"1,96%","71,89%","73,85%","26,15%"
11.12,+ 13110,0,"1,19%","-0,97%","4,55%","-3,70%",+ 544,+ 23237,+ 23781,-10 671,1114974,22174,815356,837530,277444,,"2,65%","97,35%",,"1,99%","73,13%","75,12%","24,88%"
12.12,+ 11497,0,"1,03%","-7,51%","4,14%","-5,11%",+ 502,+ 25185,+ 25687,-14 190,1126471,22676,840541,863217,263254,,"2,63%","97,37%",,"2,01%","74,62%","76,63%","23,37%"
13.12,+ 8977,0,"0,80%","-2,17%","3,41%","-3,63%",+ 188,+ 18354,+ 18542,-9 565,1135448,22864,858895,881759,253689,,"2,59%","97,41%",,"2,01%","75,64%","77,66%","22,34%"
14.12,+ 4896,0,"0,43%","10,69%","1,93%","-2,15%",+ 96,+ 10260,+ 10356,-5 460,1140344,22960,869155,892115,248229,,"2,57%","97,43%",,"2,01%","76,22%","78,23%","21,77%"
15.12,+ 6907,0,"0,61%","-16,90%","2,78%","-1,63%",+ 349,+ 10593,+ 10942,-4 035,1147251,23309,879748,903057,244194,,"2,58%","97,42%",,"2,03%","76,68%","78,71%","21,29%"
16.12,+ 12454,0,"1,09%","2,35%","5,10%","-0,43%",+ 605,+ 12902,+ 13507,-1 053,1159705,23914,892650,916564,243141,,"2,61%","97,39%",,"2,06%","76,97%","79,03%","20,97%"
17.12,+ 11953,0,"1,03%","-13,06%","4,92%","0,34%",+ 431,+ 10699,+ 11130,+ 823,1171658,24345,903349,927694,243964,,"2,62%","97,38%",,"2,08%","77,10%","79,18%","20,82%"
18.12,+ 11013,0,"0,94%","-16,00%","4,51%","-0,67%",+ 426,+ 12227,+ 12653,-1 640,1182671,24771,915576,940347,242324,,"2,63%","97,37%",,"2,09%","77,42%","79,51%","20,49%"
19.12,+ 11267,0,"0,95%","-2,00%","4,65%","-0,56%",+ 483,+ 12147,+ 12630,-1 363,1193938,25254,927723,952977,240961,,"2,65%","97,35%",,"2,12%","77,70%","79,82%","20,18%"
20.12,+ 8594,0,"0,72%","-4,27%","3,57%","-0,87%",+ 143,+ 10546,+ 10689,-2 095,1202532,25397,938269,963666,238866,,"2,64%","97,36%",,"2,11%","78,02%","80,14%","19,86%"
21.12,+ 4633,0,"0,39%","-5,37%","1,94%","-1,34%",+ 77,+ 7748,+ 7825,-3 192,1207165,25474,946017,971491,235674,,"2,62%","97,38%",,"2,11%","78,37%","80,48%","19,52%"
22.12,+ 7192,0,"0,60%","4,13%","3,05%","-0,58%",+ 309,+ 8255,+ 8564,-1 372,1214357,25783,954272,980055,234302,,"2,63%","97,37%",,"2,12%","78,58%","80,71%","19,29%"
23.12,+ 12361,0,"1,02%","-0,75%","5,28%","0,42%",+ 472,+ 10906,+ 11378,+ 983,1226718,26255,965178,991433,235285,,"2,65%","97,35%",,"2,14%","78,68%","80,82%","19,18%"
24.12,+ 13115,0,"1,07%","9,72%","5,57%","0,82%",+ 497,+ 10698,+ 11195,+ 1920,1239833,26752,975876,1002628,237205,,"2,67%","97,33%",,"2,16%","78,71%","80,87%","19,13%"
25.12,+ 9077,0,"0,73%","-17,58%","3,83%","0,01%",+ 240,+ 8807,+ 9047,+ 30,1248910,26992,984683,1011675,237235,,"2,67%","97,33%",,"2,16%","78,84%","81,00%","19,00%"
26.12,+ 5048,0,"0,40%","-55,20%","2,13%","-1,15%",+ 69,+ 7698,+ 7767,-2 719,1253958,27061,992381,1019442,234516,,"2,65%","97,35%",,"2,16%","79,14%","81,30%","18,70%"
27.12,+ 3678,0,"0,29%","-57,20%","1,57%","-1,54%",+ 57,+ 7229,+ 7286,-3 608,1257636,27118,999610,1026728,230908,,"2,64%","97,36%",,"2,16%","79,48%","81,64%","18,36%"
28.12,+ 3211,0,"0,26%","-30,69%","1,39%","-1,12%",+ 29,+ 5766,+ 5795,-2 584,1260847,27147,1005376,1032523,228324,,"2,63%","97,37%",,"2,15%","79,74%","81,89%","18,11%"
29.12,+ 7914,0,"0,63%","10,04%","3,47%","-0,45%",+ 307,+ 8629,+ 8936,-1 022,1268761,27454,1014005,1041459,227302,,"2,64%","97,36%",,"2,16%","79,92%","82,08%","17,92%"
30.12,+ 12955,0,"1,02%","4,81%","5,70%","0,22%",+ 565,+ 11884,+ 12449,+ 506,1281716,28019,1025889,1053908,227808,,"2,66%","97,34%",,"2,19%","80,04%","82,23%","17,77%"
31.12,+ 13397,0,"1,05%","2,15%","5,88%","1,15%",+ 532,+ 10249,+ 10781,+ 2616,1295113,28551,1036138,1064689,230424,,"2,68%","97,32%",,"2,20%","80,00%","82,21%","17,79%"
01.01,+ 11008,0,"0,85%","21,27%","4,78%","0,20%",+ 400,+ 10143,+ 10543,+ 465,1306121,28951,1046281,1075232,230889,,"2,69%","97,31%",,"2,22%","80,11%","82,32%","17,68%"
02.01,+ 6945,0,"0,53%","37,58%","3,01%","-1,00%",+ 102,+ 9155,+ 9257,-2 312,1313066,29053,1055436,1084489,228577,,"2,68%","97,32%",,"2,21%","80,38%","82,59%","17,41%"
03.01,+ 5739,0,"0,44%","56,04%","2,51%","-0,87%",+ 61,+ 7657,+ 7718,-1 979,1318805,29114,1063093,1092207,226598,,"2,67%","97,33%",,"2,21%","80,61%","82,82%","17,18%"
04.01,+ 4432,0,"0,34%","38,03%","1,96%","-0,91%",+ 42,+ 6461,+ 6503,-2 071,1323237,29156,1069554,1098710,224527,,"2,65%","97,35%",,"2,20%","80,83%","83,03%","16,97%"
05.01,+ 7624,0,"0,58%","-3,66%","3,40%","-0,92%",+ 341,+ 9338,+ 9679,-2 055,1330861,29497,1078892,1108389,222472,,"2,66%","97,34%",,"2,22%","81,07%","83,28%","16,72%"
06.01,+ 14151,0,"1,06%","9,23%","6,36%","2,13%",+ 553,+ 8852,+ 9405,+ 4746,1345012,30050,1087744,1117794,227218,,"2,69%","97,31%",,"2,23%","80,87%","83,11%","16,89%"
07.01,+ 12054,0,"0,90%","-10,02%","5,31%","1,76%",+ 186,+ 7872,+ 8058,+ 3996,1357066,30236,1095616,1125852,231214,,"2,69%","97,31%",,"2,23%","80,73%","82,96%","17,04%"
08.01,+ 8790,0,"0,65%","-20,15%","3,80%","-0,23%",+ 332,+ 8983,+ 9315,-525,1365856,30568,1104599,1135167,230689,,"2,69%","97,31%",,"2,24%","80,87%","83,11%","16,89%"
09.01,+ 10548,0,"0,77%","51,88%","4,57%","0,42%",+ 438,+ 9139,+ 9577,+ 971,1376404,31006,1113738,1144744,231660,,"2,71%","97,29%",,"2,25%","80,92%","83,17%","16,83%"
10.01,+ 9410,0,"0,68%","63,97%","4,06%","-0,15%",+ 177,+ 9580,+ 9757,-347,1385814,31183,1123318,1154501,231313,,"2,70%","97,30%",,"2,25%","81,06%","83,31%","16,69%"
11.01,+ 4622,0,"0,33%","4,29%","2,00%","-1,12%",+ 75,+ 7142,+ 7217,-2 595,1390436,31258,1130460,1161718,228718,,"2,69%","97,31%",,"2,25%","81,30%","83,55%","16,45%"