Data,Nowe przypadki,Nowe zgony,Nowe wyzdrowienia,Zmiana liczby nieaktywnych przypadków,Zmiana liczby aktywnych przypadków,Suma potwierdzonych przypadków,Suma zgonów,Suma wyzdrowień,Liczba nieaktywnych przypadków,Liczba aktywnych przypadków
03.03,+ 0,0,0,0,+ 0,0,0,0,0,0
04.03,+ 1,0,0,0,+ 1,1,0,0,0,1
05.03,+ 0,0,0,0,+ 0,1,0,0,0,1
06.03,+ 4,0,0,0,+ 4,5,0,0,0,5
07.03,+ 1,0,0,0,+ 1,6,0,0,0,6
08.03,+ 5,0,0,0,+ 5,11,0,0,0,11
09.03,+ 6,0,0,0,+ 6,17,0,0,0,17
10.03,+ 5,0,0,0,+ 5,22,0,0,0,22
11.03,+ 9,0,0,0,+ 9,31,0,0,0,31
12.03,+ 20,+ 1,0,+ 1,+ 19,51,1,0,1,50
13.03,+ 17,+ 1,0,+ 1,+ 16,68,2,0,2,66
14.03,+ 36,+ 1,0,+ 1,+ 35,104,3,0,3,101
15.03,+ 21,0,0,0,+ 21,125,3,0,3,122
16.03,+ 52,+ 1,0,+ 1,+ 51,177,4,0,4,173
17.03,+ 61,+ 1,+ 1,+ 2,+ 59,238,5,1,6,232
18.03,+ 49,0,0,0,+ 49,287,5,1,6,281
19.03,+ 68,0,0,0,+ 68,355,5,1,6,349
20.03,+ 70,0,0,0,+ 70,425,5,1,6,419
21.03,+ 111,0,0,0,+ 111,536,5,1,6,530
22.03,+ 98,+ 2,0,+ 2,+ 96,634,7,1,8,626
23.03,+ 115,+ 1,0,+ 1,+ 114,749,8,1,9,740
24.03,+ 152,+ 2,0,+ 2,+ 150,901,10,1,11,890
25.03,+ 150,+ 3,0,+ 3,+ 147,1051,13,1,14,1037
26.03,+ 170,+ 3,0,+ 3,+ 167,1221,16,1,17,1204
27.03,+ 168,0,0,0,+ 168,1389,16,1,17,1372
28.03,+ 249,+ 2,0,+ 2,+ 247,1638,18,1,19,1619
29.03,+ 224,+ 4,0,+ 4,+ 220,1862,22,1,23,1839
30.03,+ 193,+ 9,0,+ 9,+ 184,2055,31,1,32,2023
31.03,+ 256,+ 2,0,+ 2,+ 254,2311,33,1,34,2277
01.04,+ 243,+ 10,0,+ 10,+ 233,2554,43,1,44,2510
02.04,+ 392,+ 14,0,+ 14,+ 378,2946,57,1,58,2888
03.04,+ 437,+ 14,0,+ 14,+ 423,3383,71,1,72,3311
04.04,+ 244,+ 8,+ 115,+ 123,+ 121,3627,79,116,195,3432
05.04,+ 475,+ 15,+ 18,+ 33,+ 442,4102,94,134,228,3874
06.04,+ 311,+ 13,+ 28,+ 41,+ 270,4413,107,162,269,4144
07.04,+ 435,+ 22,+ 29,+ 51,+ 384,4848,129,191,320,4528
08.04,+ 357,+ 29,+ 31,+ 60,+ 297,5205,158,222,380,4825
09.04,+ 370,+ 16,+ 62,+ 78,+ 292,5575,174,284,458,5117
10.04,+ 380,+ 7,+ 34,+ 41,+ 339,5955,181,318,499,5456
11.04,+ 401,+ 27,+ 57,+ 84,+ 317,6356,208,375,583,5773
12.04,+ 318,+ 24,+ 64,+ 88,+ 230,6674,232,439,671,6003
13.04,+ 258,+ 13,+ 48,+ 61,+ 197,6932,245,487,732,6200
14.04,+ 270,+ 18,+ 131,+ 149,+ 121,7202,263,618,881,6321
15.04,+ 380,+ 23,+ 50,+ 73,+ 307,7582,286,668,954,6628
16.04,+ 336,+ 28,+ 106,+ 134,+ 202,7918,314,774,1088,6830
17.04,+ 457,+ 18,+ 92,+ 110,+ 347,8375,332,866,1198,7177
18.04,+ 334,+ 15,+ 115,+ 130,+ 204,8709,347,981,1328,7381
19.04,+ 515,+ 13,+ 59,+ 72,+ 443,9224,360,1040,1400,7824
20.04,+ 306,+ 20,+ 93,+ 113,+ 193,9530,380,1133,1513,8017
21.04,+ 263,+ 20,+ 164,+ 184,+ 79,9793,400,1297,1697,8096
22.04,+ 313,+ 25,+ 216,+ 241,+ 72,10106,425,1513,1938,8168
23.04,+ 342,+ 28,+ 227,+ 255,+ 87,10448,453,1740,2193,8255
24.04,+ 381,+ 40,+ 204,+ 244,+ 137,10829,493,1944,2437,8392
25.04,+ 381,+ 30,+ 182,+ 212,+ 169,11210,523,2126,2649,8561
26.04,+ 344,+ 12,+ 139,+ 151,+ 193,11554,535,2265,2800,8754
27.04,+ 285,+ 26,+ 201,+ 227,+ 58,11839,561,2466,3027,8812
28.04,+ 316,+ 34,+ 189,+ 223,+ 93,12155,595,2655,3250,8905
29.04,+ 422,+ 28,+ 370,+ 398,+ 24,12577,623,3025,3648,8929
30.04,+ 300,+ 20,+ 211,+ 231,+ 69,12877,643,3236,3879,8998
01.05,+ 228,+ 7,+ 255,+ 262,-34,13105,650,3491,4141,8964
02.05,+ 270,+ 12,+ 271,+ 283,-13,13375,662,3762,4424,8951
03.05,+ 318,+ 15,+ 183,+ 198,+ 120,13693,677,3945,4622,9071
04.05,+ 313,+ 19,+ 150,+ 169,+ 144,14006,696,4095,4791,9215
05.05,+ 406,+ 19,+ 185,+ 204,+ 202,14412,715,4280,4995,9417
06.05,+ 311,+ 18,+ 375,+ 393,-82,14723,733,4655,5388,9335
07.05,+ 303,+ 22,+ 207,+ 229,+ 74,15026,755,4862,5617,9409
08.05,+ 337,+ 20,+ 322,+ 342,-5,15363,775,5184,5959,9404
09.05,+ 288,+ 9,+ 253,+ 262,+ 26,15651,784,5437,6221,9430
10.05,+ 345,+ 15,+ 261,+ 276,+ 69,15996,799,5698,6497,9499
11.05,+ 330,+ 11,+ 118,+ 129,+ 201,16326,810,5816,6626,9700
12.05,+ 556,+ 28,+ 315,+ 343,+ 213,16882,838,6131,6969,9913
13.05,+ 322,+ 23,+ 279,+ 302,+ 20,17204,861,6410,7271,9933
14.05,+ 411,+ 22,+ 286,+ 308,+ 103,17615,883,6696,7579,10036
15.05,+ 401,+ 24,+ 222,+ 246,+ 155,18016,907,6918,7825,10191
16.05,+ 241,+ 8,+ 257,+ 265,-24,18257,915,7175,8090,10167
17.05,+ 272,+ 10,+ 276,+ 286,-14,18529,925,7451,8376,10153
18.05,+ 356,+ 11,+ 177,+ 188,+ 168,18885,936,7628,8564,10321
19.05,+ 382,+ 12,+ 275,+ 287,+ 95,19267,948,7903,8851,10416
20.05,+ 471,+ 14,+ 280,+ 294,+ 177,19738,962,8183,9145,10593
21.05,+ 403,+ 10,+ 269,+ 279,+ 124,20141,972,8452,9424,10717
22.05,+ 471,+ 10,+ 279,+ 289,+ 182,20612,982,8731,9713,10899
23.05,+ 315,+ 11,+ 246,+ 257,+ 58,20927,993,8977,9970,10957
24.05,+ 361,+ 3,+ 217,+ 220,+ 141,21288,996,9194,10190,11098
25.05,+ 341,+ 11,+ 82,+ 93,+ 248,21629,1007,9276,10283,11346
26.05,+ 443,+ 17,+ 744,+ 761,-318,22072,1024,10020,11044,11028
27.05,+ 397,+ 4,+ 310,+ 314,+ 83,22469,1028,10330,11358,11111
28.05,+ 352,+ 10,+ 230,+ 240,+ 112,22821,1038,10560,11598,11223
29.05,+ 332,+ 13,+ 132,+ 145,+ 187,23153,1051,10692,11743,11410
30.05,+ 412,+ 10,+ 324,+ 334,+ 78,23565,1061,11016,12077,11488
31.05,+ 219,+ 3,+ 255,+ 258,-39,23784,1064,11271,12335,11449
01.06,+ 375,+ 10,+ 178,+ 188,+ 187,24159,1074,11449,12523,11636
02.06,+ 236,+ 18,+ 277,+ 295,-59,24395,1092,11726,12818,11577
03.06,+ 292,+ 23,+ 288,+ 311,-19,24687,1115,12014,13129,11558
04.06,+ 361,+ 2,+ 213,+ 215,+ 146,25048,1117,12227,13344,11704
05.06,+ 362,+ 20,+ 183,+ 203,+ 159,25410,1137,12410,13547,11863
06.06,+ 576,+ 14,+ 231,+ 245,+ 331,25986,1151,12641,13792,12194
07.06,+ 575,+ 4,+ 214,+ 218,+ 357,26561,1155,12855,14010,12551
08.06,+ 599,+ 9,+ 143,+ 152,+ 447,27160,1164,12998,14162,12998
09.06,+ 400,+ 19,+ 198,+ 217,+ 183,27560,1183,13196,14379,13181
10.06,+ 282,+ 23,+ 215,+ 238,+ 44,27842,1206,13411,14617,13225
11.06,+ 359,+ 9,+ 285,+ 294,+ 65,28201,1215,13696,14911,13290
12.06,+ 376,+ 7,+ 109,+ 116,+ 260,28577,1222,13805,15027,13550
13.06,+ 440,+ 15,+ 299,+ 314,+ 126,29017,1237,14104,15341,13676
14.06,+ 375,+ 10,+ 122,+ 132,+ 243,29392,1247,14226,15473,13919
15.06,+ 396,+ 9,+ 157,+ 166,+ 230,29788,1256,14383,15639,14149
16.06,+ 407,+ 16,+ 271,+ 287,+ 120,30195,1272,14654,15926,14269
17.06,+ 450,+ 14,+ 267,+ 281,+ 169,30645,1286,14921,16207,14438
18.06,+ 314,+ 30,+ 396,+ 426,-112,30959,1316,15317,16633,14326
19.06,+ 352,+ 18,+ 381,+ 399,-47,31311,1334,15698,17032,14279
20.06,+ 309,+ 12,+ 483,+ 495,-186,31620,1346,16181,17527,14093
21.06,+ 311,+ 10,+ 502,+ 512,-201,31931,1356,16683,18039,13892
22.06,+ 296,+ 3,+ 393,+ 396,-100,32227,1359,17076,18435,13792
23.06,+ 300,+ 16,+ 497,+ 513,-213,32527,1375,17573,18948,13579
24.06,+ 294,+ 21,+ 561,+ 582,-288,32821,1396,18134,19530,13291
25.06,+ 289,+ 16,+ 520,+ 536,-247,33110,1412,18654,20066,13044
26.06,+ 285,+ 17,+ 564,+ 581,-296,33395,1429,19218,20647,12748
27.06,+ 319,+ 6,+ 754,+ 760,-441,33714,1435,19972,21407,12307
28.06,+ 193,+ 4,+ 576,+ 580,-387,33907,1439,20548,21987,11920
29.06,+ 247,+ 6,+ 349,+ 355,-108,34154,1445,20897,22342,11812
30.06,+ 239,+ 19,+ 384,+ 403,-164,34393,1464,21281,22745,11648
01.07,+ 382,+ 14,+ 510,+ 524,-142,34775,1478,21791,23269,11506
02.07,+ 371,+ 15,+ 418,+ 433,-62,35146,1493,22209,23702,11444
03.07,+ 259,+ 14,+ 442,+ 456,-197,35405,1507,22651,24158,11247
04.07,+ 314,+ 4,+ 476,+ 480,-166,35719,1511,23127,24638,11081
05.07,+ 231,+ 5,+ 619,+ 624,-393,35950,1516,23746,25262,10688
06.07,+ 205,+ 4,+ 220,+ 224,-19,36155,1520,23966,25486,10669
07.07,+ 257,+ 7,+ 272,+ 279,-22,36412,1527,24238,25765,10647
08.07,+ 277,+ 15,+ 640,+ 655,-378,36689,1542,24878,26420,10269
09.07,+ 262,+ 9,+ 599,+ 608,-346,36951,1551,25477,27028,9923
10.07,+ 265,+ 11,+ 571,+ 582,-317,37216,1562,26048,27610,9606
11.07,+ 305,+ 6,+ 587,+ 593,-288,37521,1568,26635,28203,9318
12.07,+ 370,+ 3,+ 513,+ 516,-146,37891,1571,27148,28719,9172
13.07,+ 299,+ 5,+ 367,+ 372,-73,38190,1576,27515,29091,9099
14.07,+ 267,+ 12,+ 241,+ 253,+ 14,38457,1588,27756,29344,9113
15.07,+ 264,+ 6,+ 736,+ 742,-478,38721,1594,28492,30086,8635
16.07,+ 333,+ 10,+ 436,+ 446,-113,39054,1604,28928,30532,8522
17.07,+ 353,+ 7,+ 577,+ 584,-231,39407,1611,29505,31116,8291
18.07,+ 339,+ 6,+ 419,+ 425,-86,39746,1617,29924,31541,8205
19.07,+ 358,+ 6,+ 368,+ 374,-16,40104,1623,30292,31915,8189
20.07,+ 279,+ 4,+ 247,+ 251,+ 28,40383,1627,30539,32166,8217
21.07,+ 399,+ 9,+ 232,+ 241,+ 158,40782,1636,30771,32407,8375
22.07,+ 380,+ 6,+ 368,+ 374,+ 6,41162,1642,31139,32781,8381
23.07,+ 418,+ 9,+ 402,+ 411,+ 7,41580,1651,31541,33192,8388
24.07,+ 458,+ 4,+ 456,+ 460,-2,42038,1655,31997,33652,8386
25.07,+ 584,+ 9,+ 422,+ 431,+ 153,42622,1664,32419,34083,8539
26.07,+ 443,+ 7,+ 334,+ 341,+ 102,43065,1671,32753,34424,8641
27.07,+ 337,+ 5,+ 103,+ 108,+ 229,43402,1676,32856,34532,8870
28.07,+ 502,+ 6,+ 187,+ 193,+ 309,43904,1682,33043,34872,9032
29.07,+ 512,+ 12,+ 147,+ 159,+ 353,44416,1697,33190,34887,9632
30.07,+ 615,+ 15,+ 453,+ 468,+ 147,45031,1709,33643,35352,9679
31.07,+ 657,+ 7,+ 344,+ 351,+ 306,45688,1716,33987,35703,9985
01.08,+ 658,+ 5,+ 387,+ 392,+ 266,46346,1721,34374,36095,10251
02.08,+ 548,+ 10,+ 335,+ 345,+ 203,46894,1731,34709,36440,10454
03.08,+ 575,+ 1,+ 172,+ 173,+ 402,47469,1732,34881,36613,10856
04.08,+ 680,+ 6,+ 175,+ 181,+ 499,48149,1738,35056,36794,11355
05.08,+ 640,+ 18,+ 265,+ 283,+ 357,48789,1756,35321,37077,11712
06.08,+ 726,+ 18,+ 321,+ 339,+ 387,49515,1774,35642,37416,12099
07.08,+ 809,+ 13,+ 399,+ 412,+ 397,50324,1787,36041,37828,12496
08.08,+ 843,+ 13,+ 362,+ 375,+ 468,51167,1800,36403,38203,12964
09.08,+ 624,+ 7,+ 288,+ 295,+ 329,51791,1807,36691,38498,13293
10.08,+ 619,+ 2,+ 186,+ 188,+ 431,52410,1809,36877,38686,13724
11.08,+ 551,+ 12,+ 273,+ 285,+ 266,52961,1821,37150,38971,13990
12.08,+ 715,+ 9,+ 461,+ 470,+ 245,53676,1830,37611,39441,14235
13.08,+ 811,+ 13,+ 350,+ 363,+ 448,54487,1843,37961,39804,14683
14.08,+ 832,+ 15,+ 401,+ 416,+ 416,55319,1858,38362,40220,15099
15.08,+ 771,+ 11,+ 491,+ 502,+ 269,56090,1869,38853,40722,15368
16.08,+ 594,+ 8,+ 277,+ 285,+ 309,56684,1877,39130,41007,15677
17.08,+ 595,+ 8,+ 229,+ 237,+ 358,57279,1885,39359,41244,16035
18.08,+ 597,+ 11,+ 284,+ 295,+ 302,57876,1896,39643,41539,16337
19.08,+ 735,+ 17,+ 456,+ 473,+ 262,58611,1913,40099,42012,16599
20.08,+ 767,+ 12,+ 382,+ 394,+ 373,59378,1925,40481,42406,16972
21.08,+ 903,+ 13,+ 548,+ 561,+ 342,60281,1938,41029,42967,17314
22.08,+ 900,+ 13,+ 632,+ 645,+ 255,61181,1951,41661,43612,17569
23.08,+ 581,+ 4,+ 522,+ 526,+ 55,61762,1955,42183,44138,17624
24.08,+ 548,+ 5,+ 265,+ 270,+ 278,62310,1960,42448,44408,17902
25.08,+ 763,+ 17,+ 336,+ 353,+ 410,63073,1977,42784,44761,18312
26.08,+ 729,+ 17,+ 615,+ 632,+ 97,63802,1994,43399,45393,18409
27.08,+ 887,+ 15,+ 698,+ 713,+ 174,64689,2009,44097,46106,18583
28.08,+ 791,+ 9,+ 688,+ 697,+ 94,65480,2018,44785,46803,18677
29.08,+ 759,+ 14,+ 751,+ 765,-6,66239,2032,45536,47568,18671
30.08,+ 631,+ 1,+ 656,+ 657,-26,66870,2033,46192,48225,18645
31.08,+ 502,+ 6,+ 446,+ 452,+ 50,67372,2039,46638,48677,18695
01.09,+ 550,+ 19,+ 392,+ 411,+ 139,67922,2058,47030,49088,18834
02.09,+ 595,+ 20,+ 835,+ 855,-260,68517,2078,47865,49943,18574
03.09,+ 612,+ 14,+ 728,+ 742,-130,69129,2092,48593,50685,18444
04.09,+ 691,+ 8,+ 1227,+ 1235,-544,69820,2100,49820,51920,17900
05.09,+ 567,+ 13,+ 2526,+ 2539,-1 972,70387,2113,52346,54459,15928
06.09,+ 437,+ 7,+ 1910,+ 1917,-1 480,70824,2120,54256,56376,14448
07.09,+ 302,+ 3,+ 857,+ 860,-558,71126,2123,55113,57236,13890
08.09,+ 400,+ 12,+ 797,+ 809,-409,71526,2135,55910,58045,13481
09.09,+ 421,+ 11,+ 1225,+ 1236,-815,71947,2146,57135,59281,12666
10.09,+ 506,+ 12,+ 934,+ 946,-440,72453,2158,58069,60227,12226
11.09,+ 594,+ 10,+ 779,+ 789,-195,73047,2168,58848,61016,12031
12.09,+ 603,+ 13,+ 877,+ 890,-287,73650,2181,59725,61906,11744
13.09,+ 502,+ 6,+ 934,+ 940,-438,74152,2187,60659,62846,11306
14.09,+ 377,+ 15,+ 438,+ 453,-76,74529,2202,61097,63299,11230
15.09,+ 605,+ 24,+ 451,+ 475,+ 130,75134,2226,61548,63774,11360
16.09,+ 600,+ 10,+ 562,+ 572,+ 28,75734,2236,62110,64346,11388
17.09,+ 837,+ 16,+ 615,+ 631,+ 206,76571,2252,62725,64977,11594
18.09,+ 757,+ 17,+ 587,+ 604,+ 153,77328,2269,63312,65581,11747
19.09,+ 1002,+ 12,+ 549,+ 561,+ 441,78330,2281,63861,66142,12188
20.09,+ 910,+ 11,+ 441,+ 452,+ 458,79240,2292,64302,66594,12646
21.09,+ 748,+ 5,+ 302,+ 307,+ 441,79988,2297,64604,66901,13087
22.09,+ 711,+ 18,+ 368,+ 386,+ 325,80699,2315,64972,67287,13412
23.09,+ 974,+ 28,+ 589,+ 617,+ 357,81673,2343,65561,67904,13769
24.09,+ 1136,+ 25,+ 597,+ 622,+ 514,82809,2368,66158,68526,14283
25.09,+ 1587,+ 23,+ 582,+ 605,+ 982,84396,2391,66740,69131,15265
26.09,+ 1584,+ 32,+ 586,+ 618,+ 966,85980,2423,67326,69749,16231
27.09,+ 1350,+ 8,+ 578,+ 586,+ 764,87330,2431,67904,70335,16995
28.09,+ 1306,+ 15,+ 516,+ 531,+ 775,88636,2446,68420,70866,17770
29.09,+ 1326,+ 36,+ 535,+ 571,+ 755,89962,2482,68955,71437,18525
30.09,+ 1552,+ 30,+ 740,+ 770,+ 782,91514,2512,69695,72207,19307
01.10,+ 1967,+ 30,+ 706,+ 736,+ 1231,93481,2542,70401,72943,20538
02.10,+ 2292,+ 27,+ 952,+ 979,+ 1313,95773,2569,71353,73922,21851
03.10,+ 2367,+ 34,+ 856,+ 890,+ 1477,98140,2603,72209,74812,23328
04.10,+ 1934,+ 26,+ 794,+ 820,+ 1114,100074,2629,73003,75632,24442
05.10,+ 2006,+ 29,+ 549,+ 578,+ 1428,102080,2658,73552,76210,25870
06.10,+ 2236,+ 58,+ 606,+ 664,+ 1572,104316,2716,74158,76874,27442
07.10,+ 3003,+ 75,+ 1188,+ 1263,+ 1740,107319,2791,75346,78137,29182
08.10,+ 4280,+ 76,+ 1144,+ 1220,+ 3060,111599,2867,76490,79357,32242
09.10,+ 4739,+ 52,+ 1385,+ 1437,+ 3302,116338,2919,77875,80794,35544
10.10,+ 5300,+ 53,+ 1107,+ 1160,+ 4140,121638,2972,78982,81954,39684
11.10,+ 4178,+ 31,+ 1320,+ 1351,+ 2827,125816,3003,80302,83305,42511
12.10,+ 4394,+ 35,+ 899,+ 934,+ 3460,130210,3038,81201,84239,45971
13.10,+ 5068,+ 63,+ 803,+ 866,+ 4202,135278,3101,82004,85105,50173
14.10,+ 6526,+ 116,+ 1843,+ 1959,+ 4567,141804,3217,83847,87064,54740
15.10,+ 8099,+ 91,+ 1741,+ 1832,+ 6267,149903,3308,85588,88896,61007
16.10,+ 7705,+ 132,+ 2185,+ 2317,+ 5388,157608,3440,87773,91213,66395
17.10,+ 9622,+ 84,+ 2389,+ 2473,+ 7149,167230,3524,90162,93686,73544
18.10,+ 8536,+ 49,+ 2489,+ 2538,+ 5998,175766,3573,92651,96224,79542
19.10,+ 7482,+ 41,+ 1363,+ 1404,+ 6078,183248,3614,94014,97628,85620
20.10,+ 9291,+ 107,+ 1942,+ 2049,+ 7242,192539,3721,95956,99677,92862
21.10,+ 10040,+ 130,+ 2928,+ 3058,+ 6982,202579,3851,98884,102735,99844
22.10,+ 12107,+ 168,+ 3320,+ 3488,+ 8619,214686,4019,102204,106223,108463
23.10,+ 13632,+ 153,+ 2888,+ 3041,+ 10591,228318,4172,105092,109264,119054
24.10,+ 13628,+ 178,+ 4252,+ 4430,+ 9198,241946,4350,109344,113694,128252
25.10,+ 11742,+ 87,+ 3275,+ 3362,+ 8380,253688,4437,112619,117056,136632
26.10,+ 10241,+ 45,+ 2683,+ 2728,+ 7513,263929,4482,115302,119784,144145
27.10,+ 16300,+ 132,+ 3935,+ 4067,+ 12233,280229,4614,119237,123851,156378
28.10,+ 18820,+ 234,+ 4267,+ 4501,+ 14319,299049,4848,123504,128352,170697
29.10,+ 20156,+ 301,+ 5763,+ 6064,+ 14092,319205,5149,129267,134416,184789
30.10,+ 21629,+ 202,+ 5457,+ 5659,+ 15970,340834,5351,134724,140075,200759
31.10,+ 21897,+ 280,+ 5556,+ 5836,+ 16061,362731,5631,140280,145911,216820
01.11,+ 17171,+ 152,+ 6315,+ 6467,+ 10704,379902,5783,146595,152378,227524
02.11,+ 15578,+ 92,+ 7818,+ 7910,+ 7668,395480,5875,154413,160288,235192
03.11,+ 19364,+ 227,+ 5573,+ 5800,+ 13564,414844,6102,159986,166088,248756
04.11,+ 24692,+ 372,+ 8974,+ 9346,+ 15346,439536,6474,168960,175434,264102
05.11,+ 27143,+ 367,+ 8721,+ 9088,+ 18055,466679,6841,177681,184522,282157
06.11,+ 27086,+ 445,+ 10994,+ 11439,+ 15647,493765,7286,188675,195961,297804
07.11,+ 27875,+ 349,+ 11835,+ 12184,+ 15691,521640,7635,200510,208145,313495
08.11,+ 24785,+ 236,+ 8853,+ 9089,+ 15696,546425,7871,209363,217234,329191
09.11,+ 21713,+ 173,+ 10008,+ 10181,+ 11532,568138,8044,219371,227415,340723
10.11,+ 25454,+ 330,+ 11290,+ 11620,+ 13834,593592,8374,230661,239035,354557
11.11,+ 25221,+ 429,+ 12214,+ 12643,+ 12578,618813,8803,242875,251678,367135
12.11,+ 22683,+ 275,+ 11474,+ 11749,+ 10934,641496,9078,254349,263427,378069
13.11,+ 24051,+ 419,+ 13231,+ 13650,+ 10401,665547,9497,267580,277077,388470
14.11,+ 25571,+ 548,+ 14635,+ 15183,+ 10388,691118,10045,282215,292260,398858
15.11,+ 21854,+ 303,+ 12568,+ 12871,+ 8983,712972,10348,294783,305131,407841
16.11,+ 20816,+ 143,+ 11239,+ 11382,+ 9434,733788,10491,306022,316513,417275
17.11,+ 19152,+ 357,+ 18260,+ 18617,+ 535,752940,10848,324282,335130,417810
18.11,+ 19883,+ 603,+ 18601,+ 19204,+ 679,772823,11451,342883,354334,418489
19.11,+ 23975,+ 637,+ 19003,+ 19640,+ 4335,796798,12088,361886,373974,422824
20.11,+ 22464,+ 626,+ 19914,+ 20540,+ 1924,819262,12714,381800,394514,424748
21.11,+ 24213,+ 574,+ 25275,+ 25849,-1 636,843475,13288,407075,420363,423112
22.11,+ 18467,+ 330,+ 16896,+ 17226,+ 1241,861331,13618,423971,437589,424353
23.11,+ 15002,+ 156,+ 14897,+ 15053,-51,875722,13774,438868,452642,423080
24.11,+ 10139,+ 540,+ 15849,+ 16389,-6 250,909066,14314,454717,469031,416830
25.11,+ 15362,+ 674,+ 14810,+ 15484,-122,924428,14988,469527,484515,439913
26.11,+ 16687,+ 580,+ 25342,+ 25922,-9 235,941115,15568,494869,510437,430678
27.11,+ 17060,+ 579,+ 21767,+ 22346,-5 286,958175,16147,516636,532783,425392
28.11,+ 15178,+ 599,+ 21637,+ 22236,-7 058,973353,16746,538273,555019,418334
29.11,+ 11483,+ 283,+ 21156,+ 21439,-9 956,984836,17029,559429,576458,408378
30.11,+ 5733,+ 121,+ 18085,+ 18206,-12 473,990569,17150,577514,594664,395905
01.12,+ 9105,+ 449,+ 20075,+ 20524,-11 419,999674,17599,597589,615188,384486
02.12,+ 13855,+ 609,+ 25391,+ 26000,-12 145,1013529,18208,622980,641188,372341
03.12,+ 14838,+ 620,+ 23580,+ 24200,-9 362,1028367,18828,646560,665388,362979
04.12,+ 13239,+ 531,+ 19853,+ 20384,-7 145,1041606,19359,666413,685772,355834
05.12,+ 12430,+ 502,+ 21497,+ 21999,-9 569,1054036,19861,687910,707771,346265
06.12,+ 9176,+ 228,+ 18810,+ 19038,-9 862,1063212,20089,706720,726809,336403
07.12,+ 4423,+ 92,+ 15726,+ 15818,-11 395,1067635,20181,722446,742627,325008
08.12,+ 8312,+ 411,+ 16399,+ 16810,-8 498,1075947,20592,738845,759437,316510
09.12,+ 12168,+ 568,+ 29396,+ 29964,-17 796,1088115,21160,768241,789401,298714
10.12,+ 13749,+ 470,+ 23878,+ 24348,-10 599,1101864,21630,792119,813749,288115
11.12,+ 13110,+ 544,+ 23237,+ 23781,-10 671,1114974,22174,815356,837530,277444
12.12,+ 11497,+ 502,+ 25185,+ 25687,-14 190,1126471,22676,840541,863217,263254
13.12,+ 8977,+ 188,+ 18354,+ 18542,-9 565,1135448,22864,858895,881759,253689
14.12,+ 4896,+ 96,+ 10260,+ 10356,-5 460,1140344,22960,869155,892115,248229
15.12,+ 6907,+ 349,+ 10593,+ 10942,-4 035,1147251,23309,879748,903057,244194
16.12,+ 12454,+ 605,+ 12902,+ 13507,-1 053,1159705,23914,892650,916564,243141
17.12,+ 11953,+ 431,+ 10699,+ 11130,+ 823,1171658,24345,903349,927694,243964
18.12,+ 11013,+ 426,+ 12227,+ 12653,-1 640,1182671,24771,915576,940347,242324
19.12,+ 11267,+ 483,+ 12147,+ 12630,-1 363,1193938,25254,927723,952977,240961
20.12,+ 8594,+ 143,+ 10546,+ 10689,-2 095,1202532,25397,938269,963666,238866
21.12,+ 4633,+ 77,+ 7748,+ 7825,-3 192,1207165,25474,946017,971491,235674
22.12,+ 7192,+ 309,+ 8255,+ 8564,-1 372,1214357,25783,954272,980055,234302
23.12,+ 12361,+ 472,+ 10906,+ 11378,+ 983,1226718,26255,965178,991433,235285
24.12,+ 13115,+ 497,+ 10698,+ 11195,+ 1920,1239833,26752,975876,1002628,237205
25.12,+ 9077,+ 240,+ 8807,+ 9047,+ 30,1248910,26992,984683,1011675,237235
26.12,+ 5048,+ 69,+ 7698,+ 7767,-2 719,1253958,27061,992381,1019442,234516
27.12,+ 3678,+ 57,+ 7229,+ 7286,-3 608,1257636,27118,999610,1026728,230908
28.12,+ 3211,+ 29,+ 5766,+ 5795,-2 584,1260847,27147,1005376,1032523,228324
29.12,+ 7914,+ 307,+ 8629,+ 8936,-1 022,1268761,27454,1014005,1041459,227302
30.12,+ 12955,+ 565,+ 11884,+ 12449,+ 506,1281716,28019,1025889,1053908,227808
31.12,+ 13397,+ 532,+ 10249,+ 10781,+ 2616,1295113,28551,1036138,1064689,230424
01.01,+ 11008,+ 400,+ 10143,+ 10543,+ 465,1306121,28951,1046281,1075232,230889
02.01,+ 6945,+ 102,+ 9155,+ 9257,-2 312,1313066,29053,1055436,1084489,228577
03.01,+ 5739,+ 61,+ 7657,+ 7718,-1 979,1318805,29114,1063093,1092207,226598
04.01,+ 4432,+ 42,+ 6461,+ 6503,-2 071,1323237,29156,1069554,1098710,224527
05.01,+ 7624,+ 341,+ 9338,+ 9679,-2 055,1330861,29497,1078892,1108389,222472
06.01,+ 14151,+ 553,+ 8852,+ 9405,+ 4746,1345012,30050,1087744,1117794,227218
07.01,+ 12054,+ 186,+ 7872,+ 8058,+ 3996,1357066,30236,1095616,1125852,231214
08.01,+ 8790,+ 332,+ 8983,+ 9315,-525,1365856,30568,1104599,1135167,230689
09.01,+ 10548,+ 438,+ 9139,+ 9577,+ 971,1376404,31006,1113738,1144744,231660
10.01,+ 9410,+ 177,+ 9580,+ 9757,-347,1385814,31183,1123318,1154501,231313
11.01,+ 4622,+ 75,+ 7142,+ 7217,-2 595,1390436,31258,1130460,1161718,228718